category,count
MUSICAL NUMBERS,4
MUSICAL ZOO,4
MUSICIANS,5
MYSTERIES,5
MYTHOLOGY,35
MYTHS & LEGENDS,5
NAME YOUR POISON,5
NAMES,5
NAMES IN THE NEWS,1
NAMESAKES,5
NATIONAL LANDMARKS,5
NATIONAL PARKS,5
NATURAL DISASTERS,5
NATURE,18
NEW TESTAMENT,11
NEW YORK CITY,5
NEWSPAPERS,8
NICKNAMES,8
NOBEL PRIZE,9
NORTH AMERICA,5
NOSTALGIA,5
NOTORIOUS,38
NUCLEAR PHYSICS,9
NUMBER PLEASE,20
NUMBERS,24
NURSERY RHYMES,10
NUTRITION,1
NUTS,2
OCTOBER,4
ODD JOBS,22
OLD TESTAMENT,18
"ON THE ""OUTS\""",5
OPERA,27
OSCAR SONGS,9
OUTLAWS,10
P'S & Q'S,9
PALINDROMES,14
PARAPSYCHOLOGY,5
PARKS,1
PEOPLE,7
PETS,11
PHILOSOPHY,8
PHOTOGRAPHY,4
PHYSICAL SCIENCE,5
PHYSICS,10
PLANTS,3
PLASTICS,5
PLAYWRIGHTS,7
POE,6
POETRY,23
POLAND,3
POLITICAL QUOTES,28
POLITICAL SLOGANS,2
POLITICS,22
POP MUSIC,25
POP PSYCHOLOGY,4
POP QUIZ,4
POST-WAR WORLD,5
POT CLUCK,4
POT LUCK,4
POTENT POTABLES,63
POTPOURRI,13
PRESIDENTIAL FIRSTS,8
PRESIDENTIAL QUOTES,5
PRESIDENTIAL TRIVIA,5
PRESIDENTS,76
PRISON SONGS,3
PRISONS,2
PROTEST SONGS,3
PROVERBS,28
PSYCHOLOGY,23
PUBLIC HEALTH,1
PUNISHMENT,5
PUNISHMENTS,4
"QUOTE, UNQUOTE",10
RACY LADIES,3
RADIO,12
RADIO HEROES,5
RADIO TRIVIA,4
RAILROADS,8
RELATIVES,5
RELIGION,61
REPTILES,5
REPUBLICANS,21
REVERSE A WORD,5
REVOLUTIONS,5
RITUALS,14
RIVERS,4
ROAD WORK,4
ROARING '20S,6
ROBERT REDFORD,4
ROCK 'N ROLL,28
ROCK OF THE 80'S,3
ROCKS & MINERALS,7
ROYALTY,21
RULERS,5
RULES OF THE GAME,5
RUSSIA,5
RUSSIAN REVOLUTION,10
S.D.,5
SAINTLY CITIES,5
SAINTS,1
SCANDINAVIA,5
SCHOOL DAYS,10
SCIENCE,103
SCOTLAND,5
SCULPTURE,5
SEAPORTS,5
SEVENS,5
SHAKESPEARE,34
SHAPING UP,5
SHIPS,20
SHOES,2
SHOW BUSINESS,3
SIBLINGS,5
SIDEKICKS,5
SIGHT & SOUND,5
SIGNS,4
SILLY SONGS,22
SINGERS & DANCERS,12
SIT-COMS,5
SITCOM SAYINGS,5
SITCOMS,7
SKIING,5
SLEEP,6
SMOKING,4
SOAP OPERAS,1
SOCIAL STUDIES,5
SON OF WOOD,1
SONG BIRDS,2
SONGBIRDS,3
SONGS OF WAR,5
SOUTH AMERICA,14
SOVIET UNION,9
SPACE,19
SPAIN,7
SPELLING,8
SPIDERS,4
SPORT OF KINGS,8
SPORTS,155
SPORTS LEGENDS,5
SPORTS MOVIES,3
SPORTS NICKNAMES,10
SPORTS QUOTES,5
SPORTS SHIFTS,13
SPORTS STADIUMS,9
SPORTS TRIVIA,29
STAR TREK,5
"STARS WITH ""A\""",4
"STARTS WITH ""A\""",13
"STARTS WITH ""B\""",5
"STARTS WITH ""C\""",5
"STARTS WITH ""D\""",5
"STARTS WITH ""G\""",3
"STARTS WITH ""H\""",5
"STARTS WITH ""J\""",5
